feature_id,feature_name,feature_class,state_name,state_numeric,county_name,county_numeric,map_name,date_created,date_edited,bgn_type,bgn_authority,bgn_date,prim_lat_dms,prim_long_dms,prim_lat_dec,prim_long_dec,source_lat_dms,source_long_dms,source_lat_dec,source_long_dec
258225,Charybdis,Summit,California,6,Fresno,19,Mount Goddard,"01/19/1981","04/15/2017",Official,Board Decision,"01/01/1964",370513N,1184005W,37.0868537,-118.6681692,,,0,0
258322,Chinese Peak,Summit,California,6,Fresno,19,Huntington Lake,"01/19/1981","02/04/2021",,,,371308N,1190917W,37.2190167,-119.1547139,,,0,0
258343,Chocolate Peak,Summit,California,6,Inyo,27,Mount Thompson,"01/19/1981","04/15/2017",,,,370844N,1183300W,37.1454757,-118.5499034,,,0,0
258493,Coalpit Hill,Summit,California,6,Mariposa,43,Buckhorn Peak,"01/19/1981",12/01/2020,,,,374159N,1200704W,37.6998064,-120.1176954,,,0,0
258605,Colony Peak,Summit,California,6,Tulare,107,Giant Forest,"01/19/1981","04/14/2017",Official,Board Decision,"01/01/1928",363344N,1184921W,36.5622595,-118.8225981,,,0,0
258606,Colorado Hill,Summit,California,6,Alpine,3,Heenan Lake,"01/19/1981","01/30/2021",,,,384014N,1194234W,38.6704998,-119.7093284,,,0,0
258607,Colosseum Mountain,Summit,California,6,Inyo,27,Aberdeen,"01/19/1981","04/18/2017",,,,365426N,1182201W,36.9071904,-118.3670042,,,0,0
258660,Converse Mountain,Summit,California,6,Fresno,19,Hume,"01/19/1981","04/18/2017",,,,364909N,1185650W,36.8190415,-118.9471546,,,0,0
258691,Cooper Peak,Summit,California,6,Tuolumne,109,Cooper Peak,"01/19/1981",12/23/2020,,,,381425N,1195127W,38.2403556,-119.8576044,,,0,0
258707,Copper Mountain,Summit,California,6,Mono,51,Lundy,"01/19/1981","02/22/2021",,,,380243N,1191144W,38.0452029,-119.1954176,,,0,0
258716,Mount Corcoran,Summit,California,6,Tulare,107,Mount Whitney,"01/19/1981","04/14/2017",Official,Board Decision,"01/01/1968",363219N,1181502W,36.5385517,-118.2504845,,,0,0
258718,Corlew Mountain,Summit,California,6,Fresno,19,Millerton Lake East,"01/19/1981","02/25/2021",,,,370011N,1193241W,37.0030339,-119.5446961,,,0,0
258737,Corral Mountain,Summit,California,6,Fresno,19,Courtright Reservoir,"01/19/1981",12/24/2020,,,,370613N,1185502W,37.1036423,-118.9172617,,,0,0
258783,County Line Hill,Summit,California,6,Mono,51,Blanco Mountain,"01/19/1981",11/19/2020,,,,372833N,1181101W,37.4757393,-118.1835042,,,0,0
258819,Cowtrack Mountain,Summit,California,6,Mono,51,Cowtrack Mountain,"01/19/1981",12/24/2020,,,,375845N,1184833W,37.9790315,-118.8090545,,,0,0
258885,Crater Crest,Summit,California,6,Mono,51,Dunderberg Peak,"01/19/1981","01/08/2021",,,,380722N,1192014W,38.1226594,-119.3371542,,,0,0
258892,Crater Mountain,Summit,California,6,Mono,51,Lee Vining,"01/19/1981","02/17/2021",,,,375241N,1190026W,37.8780972,-119.0071406,,,0,0
258922,Crocker Point,Summit,California,6,Mariposa,43,El Capitan,"01/19/1981","05/06/2017",,,,374214N,1193933W,37.7039594,-119.6591297,,,0,0
258924,Mount Crocker,Summit,California,6,Mono,51,Mount Abbot,"01/19/1981","02/27/2021",Official,Board Decision,"01/01/1911",372859N,1184931W,37.4829291,-118.8253923,,,0,0
258930,Crook Mountain,Summit,California,6,Madera,39,Millerton Lake East,"01/19/1981","02/25/2021",,,,370420N,1193704W,37.0723412,-119.6177358,,,0,0
258955,Crystal Crag,Summit,California,6,Mono,51,Crystal Crag,"01/19/1981","07/21/2018",,,,373528N,1190049W,37.5910432,-119.0137291,,,0,0
259022,Dalton Mountain,Summit,California,6,Fresno,19,Luckett Mountain,"01/19/1981","02/22/2021",,,,364628N,1191428W,36.7745622,-119.2412398,,,0,0
259099,Mount Davis,Summit,California,6,Mono,51,Mount Ritter,"01/19/1981","03/03/2021",,,,374254N,1191310W,37.7149889,-119.2193819,,,0,0
259157,Deadwood Peak,Summit,California,6,Madera,39,Ahwahnee,"01/19/1981",10/29/2020,,,,371849N,1194109W,37.3135128,-119.6858159,,,0,0
259244,Deer Mountain,Summit,California,6,Mono,51,Mammoth Mountain,"01/19/1981","07/21/2018",,,,374155N,1190043W,37.6985395,-119.0120714,,,0,0
259332,Devils Table,Summit,California,6,Fresno,19,Mount Givens,"01/19/1981","03/02/2021",,,,372019N,1190144W,37.3385249,-119.0289588,,,0,0
259333,Devils Top,Summit,California,6,Fresno,19,Crystal Crag,"01/19/1981","07/21/2018",,,,373118N,1190148W,37.5216012,-119.0301123,,,0,0
259338,Dewey Point,Summit,California,6,Mariposa,43,El Capitan,"01/19/1981","05/06/2017",Official,Board Decision,"01/01/1932",374214N,1193901W,37.7039958,-119.6501655,,,0,0
259348,Diamond Peak,Summit,California,6,Inyo,27,Mount Clarence King,"01/19/1981","04/18/2017",,,,364935N,1182325W,36.8263593,-118.3902722,,,0,0
259380,Dinkey Dome,Summit,California,6,Fresno,19,Dinkey Creek,"01/19/1981","01/05/2021",,,,370654N,1190754W,37.1150988,-119.131553,,,0,0
259383,Dinkey Mountain,Summit,California,6,Fresno,19,Dinkey Creek,"01/19/1981","01/05/2021",,,,370145N,1190944W,37.0290436,-119.1621521,,,0,0
259447,Dogtooth Peak,Summit,California,6,Fresno,19,Dogtooth Peak,"01/19/1981","01/06/2021",,,,370915N,1190223W,37.1540764,-119.03959,,,0,0
259462,Dome Hill,Summit,California,6,Mono,51,Dome Hill,"01/19/1981","08/30/2021",,,,382152N,1190515W,38.364398,-119.0874855,,,0,0
259480,Donohue Peak,Summit,California,6,Tuolumne,109,Koip Peak,"01/19/1981","04/29/2017",Official,Board Decision,"01/01/1932",374629N,1191359W,37.7747553,-119.2330515,,,0,0
259509,Double Peak,Summit,California,6,Fresno,19,Crystal Crag,"01/19/1981","07/21/2018",,,,373038N,1190215W,37.5105247,-119.037398,,,0,0
259513,Dougherty Peak,Summit,California,6,Fresno,19,Marion Peak,"01/19/1981","04/18/2017",,,,365517N,1183248W,36.9213023,-118.5467761,,,0,0
259526,Dragon Peak,Summit,California,6,Inyo,27,Mount Clarence King,"01/19/1981","04/18/2017",,,,364723N,1182233W,36.7898467,-118.3758937,,,0,0
259592,Mount Dubois,Summit,California,6,Mono,51,Boundary Peak,"01/19/1981","05/14/2021",,,,374700N,1182035W,37.783259,-118.3431596,,,0,0
259599,Duckwall Mountain,Summit,California,6,Tuolumne,109,Duckwall Mountain,"01/19/1981","01/08/2021",,,,375807N,1200711W,37.9685874,-120.1197247,,,0,0
259613,Dunderberg Peak,Summit,California,6,Mono,51,Dunderberg Peak,"01/19/1981","04/29/2017",,,,380352N,1191627W,38.064445,-119.2742886,,,0,0
259668,Eagle Peak,Summit,California,6,Mariposa,43,El Portal,"01/19/1981","04/21/2017",,,,374116N,1194720W,37.6878966,-119.7888438,,,0,0
259833,Electra Peak,Summit,California,6,Madera,39,Mount Lyell,"01/19/1981","04/24/2017",Official,Board Decision,"01/01/1932",374219N,1191537W,37.7052075,-119.2601723,,,0,0
259835,Elephants Back,Summit,California,6,Alpine,3,Carson Pass,"01/19/1981",12/12/2020,,,,384042N,1195859W,38.6784131,-119.9831181,,,0,0
259884,Ely Mountain,Summit,California,6,Fresno,19,Musick Mountain,"01/19/1981","03/04/2021",,,,370930N,1191621W,37.1583901,-119.2726077,,,0,0
260009,Excelsior Mountain,Summit,California,6,Tuolumne,109,Dunderberg Peak,"01/19/1981","04/29/2017",Official,Board Decision,"01/01/1932",380128N,1191819W,38.0245814,-119.3053916,,,0,0
260105,Fin Dome,Summit,California,6,Fresno,19,Mount Clarence King,"01/19/1981","04/18/2017",,,,364849N,1182444W,36.8135563,-118.4123019,,,0,0
260160,Fish Springs Hill,Summit,California,6,Inyo,27,Fish Springs,"01/19/1981","01/15/2021",,,,370508N,1181726W,37.0856883,-118.2905398,,,0,0
260170,Mount Fiske,Summit,California,6,Fresno,19,Mount Darwin,"01/19/1981","04/15/2017",,,,370812N,1184004W,37.1365692,-118.6678353,,,0,0
260195,Flatiron Butte,Summit,California,6,Mono,51,Buckeye Ridge,"01/19/1981","04/29/2017",,,,381149N,1192933W,38.1969916,-119.4926014,,,0,0
260204,Fleming Mountain,Summit,California,6,Fresno,19,Mount Henry,"01/19/1981","04/15/2017",,,,370931N,1185129W,37.1586703,-118.8580538,,,0,0
260214,Mount Florence,Summit,California,6,Madera,39,Mount Lyell,"01/19/1981","04/24/2017",Official,Board Decision,"01/01/1932",374423N,1191858W,37.7397718,-119.3160333,,,0,0
260222,Flume Peak,Summit,California,6,Fresno,19,Musick Mountain,"01/19/1981","09/02/2020",,,,370839N,1192002W,37.1441729,-119.3340209,,,0,0
260227,Foerster Peak,Summit,California,6,Madera,39,Mount Lyell,"01/19/1981","04/24/2017",Official,Board Decision,"01/01/1932",374124N,1191727W,37.6900209,-119.2907511,,,0,0
260439,Frys Point,Summit,California,6,Tulare,107,Giant Forest,"01/19/1981","04/14/2017",Official,Board Decision,"01/01/1928",363028N,1185035W,36.5076504,-118.8431922,,,0,0
260452,Mount Gabb,Summit,California,6,Fresno,19,Mount Abbot,"01/19/1981","02/27/2021",,,,372236N,1184810W,37.3766314,-118.8027365,,,0,0
260453,Gabbro Peak,Summit,California,6,Mono,51,Dunderberg Peak,"01/19/1981","04/29/2017",,,,380426N,1191845W,38.0738552,-119.3125498,,,0,0
